database_exception,3010000,"Database exception"
block_validate_exception,3020000,"block validation exception"
unlinkable_block_exception,3020001,"Unlinkable block"
block_tx_output_exception,3020002,"Transaction outputs in block do not match transaction outputs from applying block"
block_concurrency_exception,3020003,"Block does not guarantee concurrent execution without conflicts"
block_lock_exception,3020004,"Shard locks in block are incorrect or mal-formed"
block_resource_exhausted,3020005,"Block exhausted allowed resources"
block_too_old_exception,3020006,"Block is too old to push"
block_from_the_future,3020007,"Block is from the future"
wrong_signing_key,3020008,"Block is not signed with expected key"
wrong_producer,3020009,"Block is not signed by expected producer"
transaction_exception,3030000,"transaction validation exception"
tx_duplicate,3030001,"duplicate transaction"
tx_decompression_error,3030002,"Error decompressing transaction"
expired_tx_exception,3030003,"Expired Transaction"
tx_exp_too_far_exception,3030004,"Transaction Expiration Too Far"
invalid_ref_block_exception,3030005,"Invalid Reference Block"
tx_apply_exception,3030006,"Transaction Apply Exception"
tx_receipt_inconsistent_status,3030007,"Transaction receipt applied status does not match received status."
tx_no_action,3030008,"transaction should have at least one normal action."
deadline_exception,3030009,"transaction is timeout."
max_charge_exceeded_exception,3030010,"exceeded max charge paid"
payer_exception,3030012,"Invalid payer"
too_many_tx_at_once,3030013,"Pushing too many transactions at once"
tx_too_big,3030014,"Transaction is too big"
unknown_transaction_compression,3030015,"Unknown transaction compression"
action_exception,3040000,"action validation exception"
action_authorize_exception,3040001,"invalid action authorization"
action_args_exception,3040002,"Invalid arguments for action"
name_reserved_exception,3040003,"Name is reserved."
domain_exception,3210000,"Domain exception"
unknown_domain_exception,3210001,"Domain does not exist."
domain_duplicate_exception,3210002,"Domain already exists."
domain_name_exception,3210003,"Invalid domain name"
token_exception,3220000,"Token exception"
unknown_token_exception,3220001,"Token does not exist."
token_duplicate_exception,3220002,"Token already exists."
token_name_exception,3220003,"Invalid token name"
token_owner_exception,3220004,"Token owner cannot be empty."
token_destroyed_exception,3220005,"Token is destroyed."
token_locked_exception,3220006,"Locked token cannot be transfered."
token_cannot_destroy_exception,3220007,"Token in this domain cannot be destroyed."
group_exception,3230000,"Group exception"
unknown_group_exception,3230001,"Group does not exist."
group_duplicate_exception,3230002,"Group already exists."
group_name_exception,3230003,"Invalid group name"
group_key_exception,3230004,"Group key is reserved to update this group."
fungible_exception,3240000,"Fungible exception"
unknown_fungible_exception,3240001,"Fungible asset does not exist."
fungible_duplicate_exception,3240002,"Fungible asset already exists."
fungible_name_exception,3240003,"Invalid fungible asset name"
fungible_symbol_exception,3240004,"Invalid fungible asset symbol"
